Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass,Partmass
Ferous metals,EAF steel,kg,Weld blanks and fasteners (electronics to body),5.799645,doors,Steel,Utilitycars,4.216709878,0.003423639315
Polymers,Plastic,kg,Weld blanks and fasteners (electronics to body),4.710259544,doors,Plastic,Utilitycars,3.424657534,0.00278055463
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (electronics to body),1.218542652,doors,Steel,Utilitycars,0.885957819,0.0007193286019
Ferous metals,EAF steel,kg,Weld blanks and fasteners (other systems to body),5.799645,doors,Steel,Utilitycars,4.216709878,0.003423639315
Polymers,Plastic,kg,Weld blanks and fasteners (other systems to body),4.710259544,doors,Plastic,Utilitycars,3.424657534,0.00278055463
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (other systems to body),1.218542652,doors,Steel,Utilitycars,0.885957819,0.0007193286019
Ferous metals,galv steel,kg,"Doors, including trunk lid",127.9118082,doors,Steel,Utilitycars,93,0.07550874154
Glass,Glass,kg,"Doors, including trunk lid",0.1029383906,doors,Glass,Utilitycars,0.074842741,0.00006076646437
Polymers,Plastic,kg,"Doors, including trunk lid",16.50474944,doors,Plastic,Utilitycars,12,0.009743063425
Scrap,"Scrap, galv steel",kg,"Doors, including trunk lid",26.87509217,doors,Steel,Utilitycars,19.53989712,0.01586487141
Scrap,"Scrap, glass",kg,"Doors, including trunk lid",0.005417810541,doors,Glass,Utilitycars,0.003939092,0.000003198235266
Glass,Glass,kg,Windscreen glass,15.95459113,doors,Glass,Utilitycars,11.6,0.009418294644
Scrap,"Scrap, glass",kg,Windscreen glass,0.8397153228,doors,Glass,Utilitycars,0.610526316,0.0004956997183
Glass,Glass,kg,Rear screen glass,6.285558746,doors,Glass,Utilitycars,4.57,0.003710483321
Scrap,"Scrap, glass",kg,Rear screen glass,0.3308188816,doors,Glass,Utilitycars,0.240526316,0.000195288596
Glass,Glass,kg,Side body glass (6),17.23370921,doors,Glass,Utilitycars,12.53,0.01017338206
Scrap,"Scrap, glass",kg,Side body glass (6),0.9070373265,doors,Glass,Utilitycars,0.659473684,0.0005354411609
polymers,Rubber,kg,Tires (x4),24.90190267,wheels,Rubber,Utilitycars,18.10526316,0.01470006061
Other,Graphite,kg,Tires (x4),11.45487523,wheels,Graphite,Utilitycars,8.328421053,0.006762027879
Ferrous metals,Steel (tires),kg,Tires (x4),7.802596169,wheels,Steel,Utilitycars,5.672982456,0.00460601899
Textiles,Textiles,kg,Tires (x4),2.656202951,wheels,Textile,Utilitycars,1.93122807,0.001568006464
Non-ferrous metals,Zinc oxide,kg,Tires (x4),0.4980380531,wheels,Zinc,Utilitycars,0.362105263,0.000294001212
Other,Sulphur,kg,Tires (x4),0.4980380531,wheels,Sulphur,Utilitycars,0.362105263,0.000294001212
Other,Additives,kg,Tires (x4),4.150317112,wheels,Other,Utilitycars,3.01754386,0.002450010101
Ferrous metals,Steel (wheels),kg,Wheels (x4),56.77208811,wheels,Steel,Utilitycars,41.27691,0.03351362934
Non-ferrous metals,Lead,kg,Wheels (x4),0.412618736,wheels,Lead,Utilitycars,0.3,0.0002435765856
