Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass
Ferous metals,Rolled steel,kg,Body panels,1.552178E-02,doors,Steel,Utilitycars,19.11733046
Ferous metals,EAF steel,kg,Body panels,8.376274E-03,doors,Steel,Utilitycars,10.3166
Ferous metals,galv steel,kg,Body panels,3.717060E-03,doors,Steel,Utilitycars,4.5781
Ferous metals,hot rolled steel,kg,Body panels,2.716312E-02,doors,Steel,Utilitycars,33.45532831
Scrap,"Scrap, Rolled steel",kg,Body panels,3.261226E-03,doors,Steel,Utilitycars,4.016673876
Scrap,"Scrap, EAF steel",kg,Body panels,1.759909E-03,doors,Steel,Utilitycars,2.167583899
Scrap,"Scrap, galv steel",kg,Body panels,7.809781E-04,doors,Steel,Utilitycars,0.961888204
Scrap,"Scrap, hot rolled steel",kg,Body panels,5.707145E-03,doors,Steel,Utilitycars,7.029179283
Ferous metals,galv steel,kg,Bumpers,6.847279E-03,doors,Steel,Utilitycars,8.43342
Scrap,"Scrap, galv steel",kg,Bumpers,1.438657E-03,doors,Steel,Utilitycars,1.77191569
Ferous metals,EAF steel,kg,Body hardware,2.982352E-04,doors,Steel,Utilitycars,0.36732
Ferous metals,stainless steel,kg,Body hardware,6.467408E-05,doors,Steel,Utilitycars,0.079655544
Non-ferrous metals,Copper,kg,Body hardware,1.620439E-04,doors,Copper,Utilitycars,0.199580643
Glass,Glass,kg,Body hardware,4.861317E-05,doors,Glass,Utilitycars,0.059874193
Polymers,Plastic,kg,Body hardware,4.993876E-03,doors,Plastic,Utilitycars,6.150684932
Polymers,Rubber,kg,Body hardware,1.863505E-04,doors,Rubber,Utilitycars,0.229517739
Scrap,"Scrap, EAF steel",kg,Body hardware,6.266112E-05,doors,Steel,Utilitycars,0.07717629
Scrap,"Scrap, stainless steel",kg,Body hardware,1.358844E-05,doors,Steel,Utilitycars,0.016736141
Scrap,"Scrap, glass",kg,Body hardware,2.558588E-06,doors,Glass,Utilitycars,0.003151273
Ferous metals,EAF steel,kg,Weld blanks and fasteners (electronics to body),3.423639E-03,doors,Steel,Utilitycars,4.216709878
Polymers,Plastic,kg,Weld blanks and fasteners (electronics to body),2.780555E-03,doors,Plastic,Utilitycars,3.424657534
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (electronics to body),7.193286E-04,doors,Steel,Utilitycars,0.885957819
Ferous metals,EAF steel,kg,Weld blanks and fasteners (other systems to body),3.423639E-03,doors,Steel,Utilitycars,4.216709878
Polymers,Plastic,kg,Weld blanks and fasteners (other systems to body),2.780555E-03,doors,Plastic,Utilitycars,3.424657534
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (other systems to body),7.193286E-04,doors,Steel,Utilitycars,0.885957819
Ferous metals,galv steel,kg,"Doors, including trunk lid",7.550874E-02,doors,Steel,Utilitycars,93
Glass,Glass,kg,"Doors, including trunk lid",6.076646E-05,doors,Glass,Utilitycars,0.074842741
Polymers,Plastic,kg,"Doors, including trunk lid",9.743063E-03,doors,Plastic,Utilitycars,12
Scrap,"Scrap, galv steel",kg,"Doors, including trunk lid",1.586487E-02,doors,Steel,Utilitycars,19.53989712
Scrap,"Scrap, glass",kg,"Doors, including trunk lid",3.198235E-06,doors,Glass,Utilitycars,0.003939092
Glass,Glass,kg,Windscreen glass,9.418295E-03,doors,Glass,Utilitycars,11.6
Scrap,"Scrap, glass",kg,Windscreen glass,4.956997E-04,doors,Glass,Utilitycars,0.610526316
Glass,Glass,kg,Rear screen glass,3.710483E-03,doors,Glass,Utilitycars,4.57
Scrap,"Scrap, glass",kg,Rear screen glass,1.952886E-04,doors,Glass,Utilitycars,0.240526316
Glass,Glass,kg,Side body glass (6),1.017338E-02,doors,Glass,Utilitycars,12.53
Scrap,"Scrap, glass",kg,Side body glass (6),5.354412E-04,doors,Glass,Utilitycars,0.659473684
polymers,Rubber,kg,Tires (x4),1.470006E-02,wheels,Rubber,Utilitycars,18.10526316
Other,Graphite,kg,Tires (x4),6.762028E-03,wheels,Graphite,Utilitycars,8.328421053
Ferrous metals,Steel (tires),kg,Tires (x4),4.606019E-03,wheels,Steel,Utilitycars,5.672982456
Textiles,Textiles,kg,Tires (x4),1.568006E-03,wheels,Textile,Utilitycars,1.93122807
Non-ferrous metals,Zinc oxide,kg,Tires (x4),2.940012E-04,wheels,Zinc,Utilitycars,0.362105263
Other,Sulphur,kg,Tires (x4),2.940012E-04,wheels,Sulphur,Utilitycars,0.362105263
Other,Additives,kg,Tires (x4),2.450010E-03,wheels,Other,Utilitycars,3.01754386
Ferrous metals,Steel (wheels),kg,Wheels (x4),3.351363E-02,wheels,Steel,Utilitycars,41.27691
Non-ferrous metals,Lead,kg,Wheels (x4),2.435766E-04,wheels,Lead,Utilitycars,0.3
