"TIME";"GEO";"VESSEL";"UNIT";"WEIGHT";"Value";"Flag and Footnotes"
"2011";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2011";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";":";""
"2012";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2012";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2012";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2012";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2012";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
"2012";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2012";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2012";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";":";""
"2012";"Netherlands";"Dumb and pushed vessel";"Number";"Total";":";""
"2012";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2012";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2012";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
"2012";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2012";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2012";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2012";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";":";""
"2013";"Netherlands";"Self-propelled barge";"Number";"Total";"5 661";""
"2013";"Netherlands";"Self-propelled barge";"Number";"999 t or less";"2 081";""
"2013";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";"2 838";""
"2013";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";"742";""
"2013";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";"8 992";""
"2013";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";"1 153";""
"2013";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";"4 912";""
"2013";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";"2 926";""
"2013";"Netherlands";"Dumb and pushed vessel";"Number";"Total";"1 387";""
"2013";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";"311";""
"2013";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";"869";""
"2013";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";"207";""
"2013";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";"2 989";""
"2013";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";"150";""
"2013";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";"2 077";""
"2013";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";"762";""
"2014";"Netherlands";"Self-propelled barge";"Number";"Total";"5 484";""
"2014";"Netherlands";"Self-propelled barge";"Number";"999 t or less";"1 991";""
"2014";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";"2 747";""
"2014";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";"746";""
"2014";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";"8 818";""
"2014";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";"1 092";""
