"Perioden";"Brandstofsoort";"Bouwjaarklasse";"Onderwerp";"";""
"2008";"Totaal";"Bouwjaar 2018";"Overige voertuigen met bromfietskenteken";"aantal";""
"2008";"Totaal";"Bouwjaar 2017";"Voertuigen met bromfietskenteken";"aantal";""
"2008";"Totaal";"Bouwjaar 2017";"Snorfiets";"aantal";""
"2008";"Totaal";"Bouwjaar 2017";"Bromfiets";"aantal";""
"2008";"Totaal";"Bouwjaar 2017";"Brommobiel";"aantal";""
"2008";"Totaal";"Bouwjaar 2017";"Overige voertuigen met bromfietskenteken";"aantal";""
"2008";"Totaal";"Bouwjaar 2016";"Voertuigen met bromfietskenteken";"aantal";""
"2008";"Totaal";"Bouwjaar 2016";"Snorfiets";"aantal";""
"2008";"Totaal";"Bouwjaar 2016";"Bromfiets";"aantal";""
"2008";"Totaal";"Bouwjaar 2016";"Brommobiel";"aantal";""
"2008";"Totaal";"Bouwjaar 2016";"Overige voertuigen met bromfietskenteken";"aantal";""
"2008";"Totaal";"Bouwjaar 2015";"Voertuigen met bromfietskenteken";"aantal";""
"2008";"Totaal";"Bouwjaar 2015";"Snorfiets";"aantal";""
