"Perioden";"Voertuigtype";"Onderwerp";"";""
"2000";"Bus";"||Totaal";"aantal";"11206"
"2000";"Bus";"Benzine";"aantal";"15"
"2000";"Bus";"Diesel";"aantal";"10974"
"2000";"Bus";"LPG";"aantal";"153"
"2000";"Bus";"Elektriciteit";"aantal";"49"
"2000";"Bus";"CNG";"aantal";"15"
"2000";"Bus";"Geen/overige/onbekende brandstof";"aantal";"0"
"2000";"Bus";"||Totaal";"aantal";"11206"
"2000";"Bus";"< 500 kg";"aantal";"1"
"2000";"Bus";"500 - 999 kg";"aantal";"0"
"2000";"Bus";"1000 - 1499 kg";"aantal";"4"
"2000";"Bus";"1500 - 1999 kg";"aantal";"19"
"2000";"Bus";"2000 - 2499 kg";"aantal";"255"
"2000";"Bus";"2500 - 2999 kg";"aantal";"220"
"2000";"Bus";"3000 - 3499 kg";"aantal";"136"
"2000";"Bus";"3500 - 3999 kg";"aantal";"66"
"2000";"Bus";"4000 - 4499 kg";"aantal";"169"
"2000";"Bus";"4500 - 4999 kg";"aantal";"63"
"2000";"Bus";"5000 - 5499 kg";"aantal";"40"
"2000";"Bus";"5500 - 5999 kg";"aantal";"32"
"2000";"Bus";"6000 - 6499 kg";"aantal";"45"
"2000";"Bus";"6500 - 6999 kg";"aantal";"29"
"2000";"Bus";"7000 - 7499 kg";"aantal";"43"
"2000";"Bus";"7500 - 7999 kg";"aantal";"77"
"2000";"Bus";"8000 - 8499 kg";"aantal";"95"
"2000";"Bus";"8500 - 8999 kg";"aantal";"143"
"2000";"Bus";"9000 - 9499 kg";"aantal";"283"
"2000";"Bus";"9500 - 9999 kg";"aantal";"1186"
"2000";"Bus";"10 000 - 10 499 kg";"aantal";"1593"
"2000";"Bus";"10 500 - 10 999 kg";"aantal";"1410"
"2000";"Bus";"11 000 - 11 499 kg";"aantal";"1487"
"2000";"Bus";"11 500 - 11 999 kg";"aantal";"502"
"2000";"Bus";"12 000 - 12 499 kg";"aantal";"820"
"2000";"Bus";"12 500 - 12 999 kg";"aantal";"580"
"2000";"Bus";"13 000 - 13 499 kg";"aantal";"446"
"2000";"Bus";"13 500 - 13 999 kg";"aantal";"244"
"2000";"Bus";"14 000 - 14 499 kg";"aantal";"178"
"2000";"Bus";"14 500 - 14 999 kg";"aantal";"305"
"2000";"Bus";"15 000 - 15 499 kg";"aantal";"289"
"2000";"Bus";"15 500 - 15 999 kg";"aantal";"149"
"2000";"Bus";"16 000 - 19 999 kg";"aantal";"290"
"2000";"Bus";"20 000 - 24 999 kg";"aantal";"6"
"2000";"Bus";"25 000 - 29 999 kg";"aantal";"0"
"2000";"Bus";"30 000 kg en meer";"aantal";"0"
"2000";"Bus";"Leeggewicht onbekend";"aantal";"1"
"2000";"Aanhangwagen";"||Totaal";"aantal";""
"2000";"Aanhangwagen";"Benzine";"aantal";""
"2000";"Aanhangwagen";"Diesel";"aantal";""
"2000";"Aanhangwagen";"LPG";"aantal";""
"2000";"Aanhangwagen";"Elektriciteit";"aantal";""
"2000";"Aanhangwagen";"CNG";"aantal";""
"2000";"Aanhangwagen";"Geen/overige/onbekende brandstof";"aantal";""
"2000";"Aanhangwagen";"||Totaal";"aantal";""
"2000";"Aanhangwagen";"< 500 kg";"aantal";""
"2000";"Aanhangwagen";"500 - 999 kg";"aantal";""
"2000";"Aanhangwagen";"1000 - 1499 kg";"aantal";""
"2000";"Aanhangwagen";"1500 - 1999 kg";"aantal";""
"2000";"Aanhangwagen";"2000 - 2499 kg";"aantal";""
"2000";"Aanhangwagen";"2500 - 2999 kg";"aantal";""
"2000";"Aanhangwagen";"3000 - 3499 kg";"aantal";""
"2000";"Aanhangwagen";"3500 - 3999 kg";"aantal";""
"2000";"Aanhangwagen";"4000 - 4499 kg";"aantal";""
"2000";"Aanhangwagen";"4500 - 4999 kg";"aantal";""
"2000";"Aanhangwagen";"5000 - 5499 kg";"aantal";""
"2000";"Aanhangwagen";"5500 - 5999 kg";"aantal";""
"2000";"Aanhangwagen";"6000 - 6499 kg";"aantal";""
"2000";"Aanhangwagen";"6500 - 6999 kg";"aantal";""
"2000";"Aanhangwagen";"7000 - 7499 kg";"aantal";""
"2000";"Aanhangwagen";"7500 - 7999 kg";"aantal";""
"2000";"Aanhangwagen";"8000 - 8499 kg";"aantal";""
"2000";"Aanhangwagen";"8500 - 8999 kg";"aantal";""
"2000";"Aanhangwagen";"9000 - 9499 kg";"aantal";""
"2000";"Aanhangwagen";"9500 - 9999 kg";"aantal";""
"2000";"Aanhangwagen";"10 000 - 10 499 kg";"aantal";""
"2000";"Aanhangwagen";"10 500 - 10 999 kg";"aantal";""
